id;title;media;studio;sound;versions;rating;year;genre;aspect;upc
2000000001;Innocent Man (1989/ Kino Lorber Studio Classics/ Special Edition);DVD;Kino Lorber Studio Classics;5.1;LBX, 16:9;R;1989;Drama;1.85:1;738329235635
2000000002;Innocent Man (1989/ Kino Lorber Studio Classics/ Special Edition/ Blu-ray);BLUE-RAY;Kino Lorber Studio Classics;5.1 DTS-HD;LBX, 16:9, BLU-RAY;R;1989;Drama;1.85:1;738329235642
2000000003;John Wick / John Wick: Chapter 2;DVD;Lions Gate;5.1;LBX, 16:9;R;2017;Action/Adventure;2.39:1;031398303114
2000000004;Enter The Wild;DVD;WOWNow Entertainment;2.0;04:03;NR;2018;Horror;1.33:1;000000708180
2000000005;Global Meltdown;DVD;Unified Pictures;2.0;LBX, 16:9;NR;2017;Action/Adventure;1.78:1;043396542723
2000000006;It Happened In L.A.;DVD;The Orchard;2.0;LBX, 16:9;NR;2017;Comedy;1.85:1;889845942313
