id;title;author;isbn;version
1000000001;Fundamentals of Business Process Management;Dumas, Marlon,;9783662565087;Druk: 2
1000000002;ICT Methodspack;diverse;9990002067426;Druk: 1
1000000003;CompTIA A+ Complete Study Guide;Quentin Docter;9781119515937;Druk: 4
1000000004;Gedrag in organisaties met MyLab NL toegangscode;Robbins, Stephen P.;9789043037204;Druk: 14
1000000005;Essenties van verandermanagement;Witte, Marco de. Jonker, Jan. Vink, Maurits Jan;9789013105278;Druk: 1
1000000006;CompTIA Network+ N10-007 Cert Guide;Sequeira, Anthony,;9780789759818;Druk: 1
